province,electorialDistrictNumber,district,subdistrict
ขอนแก่น,2,ซำสูง,
ขอนแก่น,2,เมืองขอนแก่น,ศิลา
ขอนแก่น,2,เมืองขอนแก่น,บ้านทุ่ม
ขอนแก่น,2,เมืองขอนแก่น,พระลับ
ขอนแก่น,2,เมืองขอนแก่น,หนองตูม
ขอนแก่น,2,เมืองขอนแก่น,ท่าพระ
ขอนแก่น,2,เมืองขอนแก่น,บึงเนียม
ขอนแก่น,2,เมืองขอนแก่น,โคกสี
ขอนแก่น,2,เมืองขอนแก่น,บ้านหว้า
ขอนแก่น,2,เมืองขอนแก่น,ดอนช้าง
ขอนแก่น,2,เมืองขอนแก่น,ดอนหัน
ขอนแก่น,2,เมืองขอนแก่น,แดงใหญ่
ขอนแก่น,3,กระนวน,
ขอนแก่น,3,น้ำพอง,
ขอนแก่น,4,บ้านฝาง,
ขอนแก่น,4,อุบลรัตน์,
ขอนแก่น,4,เขาสวนกวาง,
ขอนแก่น,4,เมืองขอนแก่น,บ้านค้อ
ขอนแก่น,4,เมืองขอนแก่น,สำราญ
ขอนแก่น,4,เมืองขอนแก่น,โนนท่อน
ขอนแก่น,4,เมืองขอนแก่น,สาวะถี
ขอนแก่น,5,ภูเวียง,
ขอนแก่น,5,สีชมพู,สีชมพู
ขอนแก่น,5,สีชมพู,ศรีสุข
ขอนแก่น,5,สีชมพู,วังเพิ่ม
ขอนแก่น,5,สีชมพู,ดงลาน
ขอนแก่น,5,สีชมพู,บริบูรณ์
ขอนแก่น,5,สีชมพู,บ้านใหม่
ขอนแก่น,5,หนองนาคำ,
ขอนแก่น,5,เวียงเก่า,
ขอนแก่น,6,ชุมแพ,
ขอนแก่น,6,ภูผาม่าน,
ขอนแก่น,6,สีชมพู,นาจาน
ขอนแก่น,6,สีชมพู,ซำยาง
ขอนแก่น,6,สีชมพู,ภูห่าน
ขอนแก่น,6,สีชมพู,หนองแดง
ขอนแก่น,7,มัญจาคีรี,
ขอนแก่น,7,หนองเรือ,
ขอนแก่น,8,พล,
ขอนแก่น,8,แวงน้อย,
ขอนแก่น,8,แวงใหญ่,
ขอนแก่น,8,โคกโพธิ์ไชย,
ขอนแก่น,9,ชนบท,
ขอนแก่น,9,หนองสองห้อง,
ขอนแก่น,9,เปือยน้อย,
ขอนแก่น,9,โนนศิลา,
ขอนแก่น,10,บ้านแฮด,
ขอนแก่น,10,บ้านไผ่,
ขอนแก่น,10,พระยืน,
จันทบุรี,1,เมืองจันทบุรี,
จันทบุรี,1,แหลมสิงห์,
จันทบุรี,2,ท่าใหม่,
จันทบุรี,2,นายายอาม,
จันทบุรี,2,เขาคิชฌกูฏ,
จันทบุรี,2,แก่งหางแมว,
จันทบุรี,3,ขลุง,
จันทบุรี,3,มะขาม,
จันทบุรี,3,สอยดาว,
จันทบุรี,3,โป่งน้ำร้อน,
ฉะเชิงเทรา,1,บางน้ำเปรี้ยว,ศาลาแดง
ฉะเชิงเทรา,1,บางน้ำเปรี้ยว,โพรงอากาศ
ฉะเชิงเทรา,1,เมืองฉะเชิงเทรา,
ฉะเชิงเทรา,2,คลองเขื่อน,
ฉะเชิงเทรา,2,บางคล้า,
ฉะเชิงเทรา,2,บางน้ำเปรี้ยว,บางน้ำเปรี้ยว
ฉะเชิงเทรา,2,บางน้ำเปรี้ยว,บางขนาก
ฉะเชิงเทรา,2,บางน้ำเปรี้ยว,สิงโตทอง
ฉะเชิงเทรา,2,บางน้ำเปรี้ยว,หมอนทอง
ฉะเชิงเทรา,2,บางน้ำเปรี้ยว,บึงน้ำรักษ์
