name,province,electorialDistrictNumber,fromParty
บุญฐิณ ประทุมลี,มุกดาหาร,2,เพื่อไทย
บุญยิ่ง นิติกาญจนา,ราชบุรี,2,พลังประชารัฐ
บุญรื่น ศรีธเรศ,กาฬสินธุ์,1,เพื่อไทย
บุญลือ ประเสริฐโสภา,ราชบุรี,5,ภูมิใจไทย
ปกรณ์ มุ่งเจริญพร,สุรินทร์,1,ภูมิใจไทย
ปฐมพงศ์ สูญจันทร์,นครปฐม,4,พลังประชารัฐ
ปดิพัทธ์ สันติภาดา,พิษณุโลก,1,ก้าวไกล
ประกอบ รัตนพันธ์,นครศรีธรรมราช,4,ประชาธิปัตย์
ประเดิมชัย บุญช่วยเหลือ,กรุงเทพมหานคร,5,เพื่อไทย
ประทวน สุทธิอำนวยเดช,ลพบุรี,1,พลังประชารัฐ
สาธิต ปิตุเตชะ,ระยอง,1,ประชาธิปัตย์
ประภูศักดิ์ จินตะเวช,อุบลราชธานี,9,เพื่อไทย
ประมวล พงศ์ถาวราเดช,ประจวบคีรีขันธ์,3,ประชาธิปัตย์
ประสิทธิ์ มะหะหมัด,กรุงเทพมหานคร,19,พลังประชารัฐ
ประสิทธิ์ วุฒินันชัย,เชียงใหม่,7,เพื่อไทย
ประเสริฐ จันทรรวงทอง,นครราชสีมา,3,เพื่อไทย
ประเสริฐ บุญเรือง,กาฬสินธุ์,5,เพื่อไทย
ปริญญา ฤกษ์หร่าย,กำแพงเพชร,4,พลังประชารัฐ
ปัญญา จีนาคำ,แม่ฮ่องสอน,1,เศรษฐกิจไทย
ปารีณา ไกรคุปต์,ราชบุรี,3,พลังประชารัฐ
ปิยวัฒน พันธ์สายเชื้อ,ยโสธร,1,เพื่อไทย
ผ่องศรี แซ่จึง,ศรีสะเกษ,8,เพื่อไทย
ไผ่ ลิกค์,กำแพงเพชร,1,เศรษฐกิจไทย
พยม พรหมเพชร,สงขลา,3,พลังประชารัฐ
พรชัย อำนวยทรัพย์,นครราชสีมา,10,ภูมิใจไทย
พรชัย อินทร์สุข,พิจิตร,1,พลังประชารัฐ
พรเทพ วิสุทธิ์วัฒนศักดิ์,ประจวบคีรีขันธ์,2,เพื่อไทย
พรพิมล ธรรมสาร,ปทุมธานี,5,ภูมิใจไทย
พรเพ็ญ บุญศิริวัฒนกุล,ชัยภูมิ,5,เพื่อไทย
พรรณสิริ กุลนาถศิริ,สุโขทัย,1,พลังประชารัฐ
พลภูมิ วิภัติภูมิประเทศ,กรุงเทพมหานคร,14,เพื่อไทย
พัชรินทร์ ซำศิริพงษ์,กรุงเทพมหานคร,2,พลังประชารัฐ
พัฒนา สัพโส,สกลนคร,3,เพื่อไทย
พาณุวัฒณ์ สะสมทรัพย์,นครปฐม,2,ชาติไทยพัฒนา
พิเชษฐ์ เชื้อเมืองพาน,เชียงราย,5,เพื่อไทย
พิบูลย์ รัชกิจประการ,สตูล,1,ภูมิใจไทย
พิมพ์พร พรพฤฒิพันธุ์,เพชรบูรณ์,1,พลังประชารัฐ
