Title,Name,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,Images,PartyName,Party,companyType,countDirector,totalValueShare,countCompShare,totalPctShare
นางสาว,จอมขวัญ กลับบ้านเกาะ,True,False,False,True,แบ่งเขต,สมุทรสาคร,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จอมขวัญ-กลับบ้านเกาะ.jpg,พลังประชารัฐ,,[],,,,
นาย,จักรกฤษณ์ ทองศรี,True,False,False,True,แบ่งเขต,บุรีรัมย์,7.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จักรกฤษณ์-ทองศรี.jpg,ภูมิใจไทย,,[],,,,
นาย,จักรพรรดิ ไชยสาส์น,True,False,False,False,แบ่งเขต,อุดรธานี,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จักรพรรดิ-ไชยสาส์น.jpg,ภูมิใจไทย,,[],,,,
นางสาว,จุฑาฑัตต เหล่าธรรมทัศน์,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จุฑาฑัตต-เหล่าธรรมทัศน์.jpg,รวมพลัง,,"['L', 'C', 'C', 'L']",0.0,22198125.0,4.0,1.028624704869422
ผู้ช่วยศาสตราจารย์ ดร.,จักรพันธ์ พรนิมิตร,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,30.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จักรพันธ์-พรนิมิตร.jpg,ภูมิใจไทย,,['L'],0.0,2973852.0,1.0,0.137803424200257
นาย,จักรพล ตั้งสุทธิธรรม,True,False,False,True,แบ่งเขต,เชียงใหม่,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จักรพล-ตั้งสุทธิธรรม.jpg,เพื่อไทย,,"['I', 'F', 'L', 'F', 'I']",3.0,256235.0,2.0,0.011873509643369001
นาย,จักรัตน์ พั้วช่วย,True,False,False,True,แบ่งเขต,เพชรบูรณ์,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จักรัตน์-พั้วช่วย.jpg,พลังประชารัฐ,,['F'],1.0,,,
ดร.,จาตุรงค์ เพ็งนรพัฒน์,True,False,False,True,แบ่งเขต,ศรีสะเกษ,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จาตุรงค์-เพ็งนรพัฒน์.jpg,เพื่อไทย,,[],,,,
นาย,จารึก ศรีอ่อน,True,False,False,True,แบ่งเขต,จันทบุรี,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จารึก-ศรีอ่อน.jpg,รวมไทยสร้างชาติ,,[],,,,
ผู้ช่วยศาสตราจารย์ ดร.,อิสระ เสรีวัฒนวุฒิ,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/อิสระ-เสรีวัฒนวุฒิ.jpg,ประชาธิปัตย์,,"['C', 'C']",0.0,30344174.0,2.0,1.406099255016195
นาย,จิรวัฒน์ อรัณยกานนท์,True,False,False,False,แบ่งเขต,กรุงเทพมหานคร,27.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จิรวัฒน์-อรัณยกานนท์.jpg,เพื่อไทย,,['P'],,725100.0,1.0,0.033599944747622006
นาย,จิรวัฒน์ ศิริพานิชย์,True,False,False,True,แบ่งเขต,มหาสารคาม,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จิรวัฒน์-ศิริพานิชย์.jpg,เพื่อไทย,,['L'],,24888.0,1.0,0.0011532691006460002
นางสาว,จารุวรรณ ศรัณย์เกตุ,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จารุวรรณ-ศรัณย์เกตุ.jpg,อนาคตใหม่,,"['C', 'C', 'G', 'M', 'G', 'G', 'I', 'I', 'C']",3.0,-253072.0,6.0,-0.011726941411074
นางสาว,จิตภัสร์ กฤดากร,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จิตภัสร์-กฤดากร.jpg,ประชาธิปัตย์,,[],,,,
นาย,จิรทัศ ไกรเดชา,True,False,False,True,แบ่งเขต,พระนครศรีอยุธยา,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จิรทัศ-ไกรเดชา.jpg,เพื่อไทย,,[],,,,
นาย,จิรพงษ์ ทรงวัชราภรณ์,True,False,False,True,แบ่งเขต,นนทบุรี,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จิรพงษ์-ทรงวัชราภรณ์.jpg,เพื่อไทย,,"['G', 'G']",2.0,,,
นาย,จิรัฏฐ์ ทองสุวรรณ์,True,False,False,True,แบ่งเขต,ฉะเชิงเทรา,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จิรัฏฐ์-ทองสุวรรณ์.jpg,ก้าวไกล,,[],,,,
นางสาว,จิราพร สินธุไพร,True,False,False,True,แบ่งเขต,ร้อยเอ็ด,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จิราพร-สินธุไพร.jpg,เพื่อไทย,,['F'],1.0,,,
นาย,จิรายุ ห่วงทรัพย์,True,False,False,True,แบ่งเขต,กรุงเทพมหานคร,16.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จิรายุ-ห่วงทรัพย์.jpg,เพื่อไทย,,[],,,,
นาย,จีรเดช ศรีวิราช,True,False,False,True,แบ่งเขต,พะเยา,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จีรเดช-ศรีวิราช.jpg,พลังประชารัฐ,,['H'],1.0,,,
นาง,จุฑาพัตธน์ เมนะสวัสดิ์,True,False,False,True,แบ่งเขต,อุดรธานี,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จุฑาพัตธน์-เมนะสวัสดิ์.jpg,เพื่อไทย,,['F'],1.0,,,
นาง,จุมพิตา จันทรขจร,True,False,False,False,แบ่งเขต,นครปฐม,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จุมพิตา-จันทรขจร.jpg,อนาคตใหม่,,[],,,,
นาย,ประภัตร โพธสุธน,True,False,True,True,แบ่งเขต,สุพรรณบุรี,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประภัตร-โพธสุธน.jpg,ชาติไทยพัฒนา,,[],,,,
นาย,จุลพันธ์ โนนศรีชัย,True,False,False,True,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จุลพันธ์-โนนศรีชัย.jpg,ชาติไทยพัฒนา,,['H'],1.0,,,
นาย,จุลพันธ์ อมรวิวัฒน์,True,False,False,True,แบ่งเขต,เชียงใหม่,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/จุลพันธ์-อมรวิวัฒน์.jpg,เพื่อไทย,,"['L', 'L']",0.0,67591.0,2.0,0.0031320560825210003
นาย,เจนวิทย์ ไกรสินธุ์,True,False,False,False,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เจนวิทย์-ไกรสินธุ์.jpg,อนาคตใหม่,,[],,,,
นาง,เจริญ เรี่ยวแรง,True,False,False,False,แบ่งเขต,นนทบุรี,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เจริญ-เรี่ยวแรง.jpg,ภูมิใจไทย,,[],,,,
นาย,เจเศรษฐ์ ไทยเศรษฐ์,True,False,False,True,แบ่งเขต,อุทัยธานี,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เจเศรษฐ์-ไทยเศรษฐ์.jpg,ภูมิใจไทย,,[],,,,
นาย,ฉลอง เทอดวีระพงศ์,True,False,False,False,แบ่งเขต,พัทลุง,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ฉลอง-เทอดวีระพงศ์.jpg,ภูมิใจไทย,,[],,,,
นาย,ฉลาด ขามช่วง,True,False,False,True,แบ่งเขต,ร้อยเอ็ด,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ฉลาด-ขามช่วง.jpg,เพื่อไทย,,[],,,,
นางสาว,ชนก จันทาทอง,True,False,False,True,แบ่งเขต,หนองคาย,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ชนก-จันทาทอง.jpg,เพื่อไทย,,['G'],1.0,,,
นาย,ชยุต ภุมมะกาญจนะ,True,False,False,True,แบ่งเขต,ปราจีนบุรี,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ชยุต-ภุมมะกาญจนะ.jpg,ภูมิใจไทย,,['M'],1.0,,,
นาย,ชลน่าน ศรีแก้ว,True,False,False,True,แบ่งเขต,น่าน,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ชลน่าน-ศรีแก้ว.jpg,เพื่อไทย,,[],,,,
