Title,Name,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,Images,PartyName,companyType,countDirector,totalValueShare,countCompShare,totalPctShare
ดร.,นภาพร เพ็ชร์จินดา,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นภาพร-เพ็ชร์จินดา.jpg,เสรีรวมไทย,"['S', 'G']",1.0,983658.0,1.0,0.045581098400988
นาย,นิยม วิวรรธนดิฐกุล,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิยม-วิวรรธนดิฐกุล.jpg,เพื่อไทย,"['G', 'K', 'K', 'C']",3.0,500070.0,1.0,0.023172423624249
นาย,นพดล มาตรศรี,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นพดล-มาตรศรี.jpg,ชาติไทยพัฒนา,['Q'],0.0,93383.0,1.0,0.004327215060498
นาย,ธนยศ ทิมสุวรรณ,true,false,false,true,แบ่งเขต,เลย,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธนยศ-ทิมสุวรรณ.jpg,ภูมิใจไทย,['I'],0.0,-617660.0,1.0,-0.028621351362317
นาย,ธนะสิทธิ์ โควสุรัตน์,true,false,false,false,แบ่งเขต,อุบลราชธานี,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธนะสิทธิ์-โควสุรัตน์.jpg,เศรษฐกิจไทย,['G'],1.0,0.0,0.0,0.0
นาย,ธนาธร จึงรุ่งเรืองกิจ,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธนาธร-จึงรุ่งเรืองกิจ.jpg,อนาคตใหม่,"['D', 'G', 'K', 'I', 'D', 'D', 'D', 'G', 'M', 'C', 'C', 'C', 'G', 'D', 'C', 'K', 'C', 'C', 'N', 'C', 'C', 'D', 'D', 'G', 'C']",18.0,43317688.0,7.0,2.007270615631982
นาย,นิคม บุญวิเศษ,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/นิคม-บุญวิเศษ.jpg,เพื่อไทย,['C'],0.0,0.0,1.0,0.0
นาย,ธนัสถ์ ทวีเกื้อกูลกิจ,true,false,false,false,แบ่งเขต,ตาก,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธนัสถ์-ทวีเกื้อกูลกิจ.jpg,ภูมิใจไทย,"['G', 'C']",0.0,-18744636.0,2.0,-0.8685956887523041
นาย,ถาวร เสนเนียม,true,false,true,false,แบ่งเขต,สงขลา,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ถาวร-เสนเนียม.jpg,ไทยภักดี,"['B', 'G']",2.0,0.0,0.0,0.0
นาย,ธรรมวิชญ์ โพธิพิพิธ,true,false,false,false,แบ่งเขต,กาญจนบุรี,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธรรมวิชญ์-โพธิพิพิธ.jpg,ภูมิใจไทย,[],0.0,0.0,0.0,0.0
นาย,ธัญญ์วาริน สุขะพิสิษฐ์,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธัญญ์วาริน-สุขะพิสิษฐ์.jpg,ก้าวไกล,"['G', 'J', 'M']",2.0,433.0,1.0,2.0064509827e-05
นาย,ธัญวัจน์ กมลวงศ์วัฒน์,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธัญวัจน์-กมลวงศ์วัฒน์.jpg,ก้าวไกล,"['J', 'J']",2.0,0.0,0.0,0.0
นาย,ธารา ปิตุเตชะ,true,false,false,true,แบ่งเขต,ระยอง,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธารา-ปิตุเตชะ.jpg,ประชาธิปัตย์,['G'],1.0,0.0,0.0,0.0
นาย,ธีรภัทร พริ้งศุลกะ,true,false,false,true,แบ่งเขต,สุราษฎร์ธานี,6.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธีรภัทร-พริ้งศุลกะ.jpg,ประชาธิปัตย์,['M'],1.0,0.0,0.0,0.0
ดร.,ธีรรัตน์ สำเร็จวาณิชย์,true,false,false,true,แบ่งเขต,กรุงเทพมหานคร,18.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธีรรัตน์-สำเร็จวาณิชย์.jpg,เพื่อไทย,[],0.0,0.0,0.0,0.0
นาย,ธีระ ไตรสรณกุล,true,false,false,false,แบ่งเขต,ศรีสะเกษ,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ธีระ-ไตรสรณกุล.jpg,ภูมิใจไทย,"['F', 'G']",2.0,0.0,0.0,0.0
