,CandidateId,Title,FirstName,LastName,PartyName,PartyNumber,CandidateNo,Votable,ProvinceName,ProvinceCode,ZoneNumber,Age,Occupation,HighestEducation,Image,ImageSrc
681,9f7ab48f4e0bae63526f121c5b398193,นาย,ธวัชชัย,  อาบทอง,ใหม่,13,11,True,กำแพงเพชร,62,3,31,เกษตรกร,ต่ำกว่าปริญญาตรี,images/ใหม่/ธวัชชัย-อาบทอง.jpg,/yourcandidates/candidates/ใหม่/ธวัชชัย-อาบทอง.webp
682,25d7d129c5e2e86d7da583ed62701438,นางสาว,นัยนา,  แพ่งพนม,ไทยศรีวิไลย์,180,12,True,กำแพงเพชร,62,3,49,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,images/ไทยศรีวิไลย์/นัยนา-แพ่งพนม.jpg,/yourcandidates/candidates/ไทยศรีวิไลย์/นัยนา-แพ่งพนม.webp
683,06fdd60b12cfee10b374df312d410118,นาง,ศิรินันท์,  เกตุเกล้า,พลังปวงชนไทย,184,13,True,กำแพงเพชร,62,3,61,ข้าราชการบำนาญ,ปริญญาโท,images/พลังปวงชนไทย/ศิรินันท์-เกตุเกล้า.jpg,/yourcandidates/candidates/พลังปวงชนไทย/ศิรินันท์-เกตุเกล้า.webp
684,6be095cef9f0e5080447e3fb3fe28411,นาย,สำเภา,  ปันทีโป,คลองไทย,189,14,True,กำแพงเพชร,62,3,68,เกษตรกร,ต่ำกว่าปริญญาตรี,images/คลองไทย/สำเภา-ปันทีโป.jpg,/yourcandidates/candidates/คลองไทย/สำเภา-ปันทีโป.webp
685,27d2b25bbb763268d3233de7253d9648,นาย,ปรีชา,  เพ็งภู่,รวมไทยสร้างชาติ,229,1,True,กำแพงเพชร,62,4,53,นักการเมืองท้องถิ่น,ปริญญาโท,images/รวมไทยสร้างชาติ/ปรีชา-เพ็งภู่.jpg,/yourcandidates/candidates/รวมไทยสร้างชาติ/ปรีชา-เพ็งภู่.webp
686,3c58fa101dcb4123dab33db28b86d37b,นาย,ธานันท์,  หล่าวเจริญ,เพื่อไทย,34,2,True,กำแพงเพชร,62,4,62,ธุรกิจส่วนตัว,ปริญญาโท,images/เพื่อไทย/ธานันท์-หล่าวเจริญ.jpg,/yourcandidates/candidates/เพื่อไทย/ธานันท์-หล่าวเจริญ.webp
687,0569931531e10d700b74c8b4d2952d18,นาย,ปริญญา,  ฤกษ์หร่าย,พลังประชารัฐ,192,3,True,กำแพงเพชร,62,4,47,ธุรกิจส่วนตัว,ปริญญาโท,images/พลังประชารัฐ/ปริญญา-ฤกษ์หร่าย.jpg,/yourcandidates/candidates/พลังประชารัฐ/ปริญญา-ฤกษ์หร่าย.webp
688,655948919a390c096d57569b46e8ab5d,นาย,จันทร์ดี,  หลวงนัน,ก้าวไกล,164,4,True,กำแพงเพชร,62,4,56,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,images/ก้าวไกล/จันทร์ดี-หลวงนัน.jpg,/yourcandidates/candidates/ก้าวไกล/จันทร์ดี-หลวงนัน.webp
689,f2d0d81234344d1995724fc29f5289a2,พันตำรวจเอก,มาโนช,  ปิ่นทอง,เสรีรวมไทย,145,5,True,กำแพงเพชร,62,4,61,ข้าราชการบำนาญ,ปริญญาโท,images/เสรีรวมไทย/มาโนช-ปิ่นทอง.jpg,/yourcandidates/candidates/เสรีรวมไทย/มาโนช-ปิ่นทอง.webp
690,28361d5c103015da5d53185eaf927f76,นางสาว,นันทิตา,  โต๊ะดอนทอง,ประชาธิปัตย์,1,6,True,กำแพงเพชร,62,4,34,พนักงานจ้างตามภารกิจ องค์การบริหารส่วนจังหวัดกำแพงเพชร,ปริญญาโท,images/ประชาธิปัตย์/นันทิตา-โต๊ะดอนทอง.jpg,/yourcandidates/candidates/ประชาธิปัตย์/นันทิตา-โต๊ะดอนทอง.webp
