จังหวัด,อำเภอ,ตำบล,เขตเลือกตั้ง,index,เทศบาล,เขตเลือกตั้ง
กรุงเทพมหานคร,บางบอน,คลองบางพราน,28,กรุงเทพมหานครบางบอนคลองบางพราน,,28
กรุงเทพมหานคร,บางบอน,บางบอนใต้,27,กรุงเทพมหานครบางบอนบางบอนใต้,,27
กรุงเทพมหานคร,บางบอน,บางบอนเหนือ,28,กรุงเทพมหานครบางบอนบางบอนเหนือ,,28
กรุงเทพมหานคร,บางพลัด,บางบำหรุ,33,กรุงเทพมหานครบางพลัดบางบำหรุ,,33
กรุงเทพมหานคร,บางพลัด,บางพลัด,33,กรุงเทพมหานครบางพลัดบางพลัด,,33
กรุงเทพมหานคร,บางพลัด,บางยี่ขัน,33,กรุงเทพมหานครบางพลัดบางยี่ขัน,,33
กรุงเทพมหานคร,บางพลัด,บางอ้อ,33,กรุงเทพมหานครบางพลัดบางอ้อ,,33
กรุงเทพมหานคร,บางรัก,บางรัก,1,กรุงเทพมหานครบางรักบางรัก,,1
กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,1,กรุงเทพมหานครบางรักมหาพฤฒาราม,,1
กรุงเทพมหานคร,บางรัก,สี่พระยา,1,กรุงเทพมหานครบางรักสี่พระยา,,1
กรุงเทพมหานคร,บางรัก,สีลม,1,กรุงเทพมหานครบางรักสีลม,,1
กรุงเทพมหานคร,บางรัก,สุริยวงศ์,1,กรุงเทพมหานครบางรักสุริยวงศ์,,1
กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,15,กรุงเทพมหานครบึงกุ่มคลองกุ่ม,,15
กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์,13,กรุงเทพมหานครบึงกุ่มนวมินทร์,,13
กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์,13,กรุงเทพมหานครบึงกุ่มนวลจันทร์,,13
กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,2,กรุงเทพมหานครปทุมวันปทุมวัน,,2
