number,title_name,title,name,party,mptype,province,zone,gender,birthdate*,education*,exoccupation*
7,นายธนกิจ ศรีอุ่นเรือน,นาย,ธนกิจ ศรีอุ่นเรือน,ไทยรวมไทย,บัญชีรายชื่อ,,,male,,,
8,นางคมขำ แสงศักดิ์ชัย,นาง,คมขำ แสงศักดิ์ชัย,ไทยรวมไทย,บัญชีรายชื่อ,,,female,,,
9,นายณัฐพงษ์ ศิริรวงชัย,นาย,ณัฐพงษ์ ศิริรวงชัย,ไทยรวมไทย,บัญชีรายชื่อ,,,male,,,
10,นายสมนึก สุขมา,นาย,สมนึก สุขมา,ไทยรวมไทย,บัญชีรายชื่อ,,,male,,,
11,นายสวาท พินยา,นาย,สวาท พินยา,ไทยรวมไทย,บัญชีรายชื่อ,,,male,,,
12,นายสมชาย ปานเทพา,นาย,สมชาย ปานเทพา,ไทยรวมไทย,บัญชีรายชื่อ,,,male,,,
13,นางสาวชยภร ชินก้องไกร,นางสาว,ชยภร ชินก้องไกร,ไทยรวมไทย,บัญชีรายชื่อ,,,female,,,
14,นางสาวชนิตา เพ็งสว่าง,นางสาว,ชนิตา เพ็งสว่าง,ไทยรวมไทย,บัญชีรายชื่อ,,,female,,,
15,นางสาวชาณัฐตา พระสุรัตน์,นางสาว,ชาณัฐตา พระสุรัตน์,ไทยรวมไทย,บัญชีรายชื่อ,,,female,,,
16,นายจรูญ ดอกไม้,นาย,จรูญ ดอกไม้,ไทยรวมไทย,บัญชีรายชื่อ,,,male,,,
1,นายจักรพงศ์ ชื่นดวง,นาย,จักรพงศ์ ชื่นดวง,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
2,นายฐานวัฒน์ วิบูลย์ธนสาร,นาย,ฐานวัฒน์ วิบูลย์ธนสาร,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
3,นายอภิญญา สุจริตตานันท์,นาย,อภิญญา สุจริตตานันท์,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
4,นายจงรัก ระรวยทรง,นาย,จงรัก ระรวยทรง,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
5,นายสุริย์ บัวคอม,นาย,สุริย์ บัวคอม,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
6,นายโกศล หกสุวรรณ,นาย,โกศล หกสุวรรณ,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
7,นายประสงค์ แก้ววิจิตร,นาย,ประสงค์ แก้ววิจิตร,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
