number,title_name,title,name,party,mptype,province,zone,gender,birthdate*,education*,exoccupation*
1,นายกฤกิทัช แสงธนโยธิน,นาย,กฤกิทัช แสงธนโยธิน,ใหม่,บัญชีรายชื่อ,,,male,,,
2,นายสุปรีย์ แสงสว่าง,นาย,สุปรีย์ แสงสว่าง,ใหม่,บัญชีรายชื่อ,,,male,,,
3,นายธนภัทร อุทุมพันธ์,นาย,ธนภัทร อุทุมพันธ์,ใหม่,บัญชีรายชื่อ,,,male,,,
4,นายทิวา ขำศิริ,นาย,ทิวา ขำศิริ,ใหม่,บัญชีรายชื่อ,,,male,,,
5,นายปิยพัชร์ อ่ำสำอางค์,นาย,ปิยพัชร์ อ่ำสำอางค์,ใหม่,บัญชีรายชื่อ,,,male,,,
6,นายนิพล อาบทอง,นาย,นิพล อาบทอง,ใหม่,บัญชีรายชื่อ,,,male,,,
7,นายสิทธิพร สาระพิน,นาย,สิทธิพร สาระพิน,ใหม่,บัญชีรายชื่อ,,,male,,,
8,นายธนธนภัทร พุฒซ้อน,นาย,ธนธนภัทร พุฒซ้อน,ใหม่,บัญชีรายชื่อ,,,male,,,
9,นายโสภณ ศรีดานุช,นาย,โสภณ ศรีดานุช,ใหม่,บัญชีรายชื่อ,,,male,,,
10,นายมิตรชัย สมบูรณ์,นาย,มิตรชัย สมบูรณ์,ใหม่,บัญชีรายชื่อ,,,male,,,
1,นายสุรทิน พิจารณ์,นาย,สุรทิน พิจารณ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
2,นางแพงศรี พิจารณ์,นาง,แพงศรี พิจารณ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
3,นางสาวปวีณา ปาคำ,นางสาว,ปวีณา ปาคำ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
4,นายพลภัทร หอมแม้น,นาย,พลภัทร หอมแม้น,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
5,นายสมเกียรติ วนะวนานต์,นาย,สมเกียรติ วนะวนานต์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
6,นายวิบูลย์ โพทะจันทร์,นาย,วิบูลย์ โพทะจันทร์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
7,นายสุธิพัฒน์ กิตติภักดีพันธ์,นาย,สุธิพัฒน์ กิตติภักดีพันธ์,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
8,นายมะนาว คงคาคูล,นาย,มะนาว คงคาคูล,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
9,นายพยัคฆ์ ชาครธรรม,นาย,พยัคฆ์ ชาครธรรม,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
10,นายดีน สะดง,นาย,ดีน สะดง,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
11,นายอับดุลรอชิด มะสุยี,นาย,อับดุลรอชิด มะสุยี,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
12,นายสุชาติ ตามประกอบ,นาย,สุชาติ ตามประกอบ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
13,นางเจ๊ะไมหมะ ดึนเลาะ,นาง,เจ๊ะไมหมะ ดึนเลาะ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
14,นางสาวสารีนา ฮะยีมะเซ็ง,นางสาว,สารีนา ฮะยีมะเซ็ง,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
15,นางสาวนารีม๊ะ โต๊ะเล๊ะ,นางสาว,นารีม๊ะ โต๊ะเล๊ะ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,female,,,
16,นายบัดรี ดะมอ,นาย,บัดรี ดะมอ,ประชาธิปไตยใหม่,บัญชีรายชื่อ,,,male,,,
1,นายกัณวีร์ สืบแสง,นาย,กัณวีร์ สืบแสง,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
2,นายพิศุทธิ์ จำเริญรวย,นาย,พิศุทธิ์ จำเริญรวย,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
3,นางสาวซูรัยยา วาหะ,นางสาว,ซูรัยยา วาหะ,เป็นธรรม,บัญชีรายชื่อ,,,female,,,
4,นายบุญธร อุปนันท์,นาย,บุญธร อุปนันท์,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
5,นางเข็มมา สีทิ,นาง,เข็มมา สีทิ,เป็นธรรม,บัญชีรายชื่อ,,,female,,,
4,พันตำรวจเอกอธิศ ภักดีนามฉวี,พันตำรวจเอก,อธิศ ภักดีนามฉวี,กรีน,เขต,ตรัง,3,male,,,
7,นายสารีฟฟูดดีน สาเมาะ,นาย,สารีฟฟูดดีน สาเมาะ,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
8,นายซะฮมี สะเเต,นาย,ซะฮมี สะเเต,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
9,นายพงศ์ธาริน บุตรทอง,นาย,พงศ์ธาริน บุตรทอง,เป็นธรรม,บัญชีรายชื่อ,,,male,,,
1,นายบัญชา เดชเจริญศิริกุล,นาย,บัญชา เดชเจริญศิริกุล,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
2,นายศรัณยพงษ์ วงษ์นาคพงษ์,นาย,ศรัณยพงษ์ วงษ์นาคพงษ์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
3,นายพัฒนา รัตนพันธ์,นาย,พัฒนา รัตนพันธ์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
4,นายอรรถษิธ ชื่นสงวน,นาย,อรรถษิธ ชื่นสงวน,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
5,นายกิตติ สาทองขาว,นาย,กิตติ สาทองขาว,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
6,นายทนงศักดิ์ ศิริรัตน์,นาย,ทนงศักดิ์ ศิริรัตน์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
7,นายบุญเพ็ง ศรีนวล,นาย,บุญเพ็ง ศรีนวล,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
8,ร้อยตำรวจเอกสมพร นนท์จันทร์,ร้อยตำรวจเอก,สมพร นนท์จันทร์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
9,นายพลังบุญ ศรีนุต,นาย,พลังบุญ ศรีนุต,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
10,นายสมพงค์ อันพาพรม,นาย,สมพงค์ อันพาพรม,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
11,นายอานุภาพ ธีรณิศรานนท์,นาย,อานุภาพ ธีรณิศรานนท์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
12,นายเมธี ฉัตรทอง,นาย,เมธี ฉัตรทอง,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
13,นายวีระศักดิ์ จำปาพันธ์,นาย,วีระศักดิ์ จำปาพันธ์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
14,นายชำนาญ ศรีสงค์,นาย,ชำนาญ ศรีสงค์,ท้องที่ไทย,บัญชีรายชื่อ,,,male,,,
1,นายเชาวฤทธิ์ ขจรพงศ์กีรติ,นาย,เชาวฤทธิ์ ขจรพงศ์กีรติ,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
2,นายอนุรักษ์ ขันทะสีมา,นาย,อนุรักษ์ ขันทะสีมา,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
3,นายสุวรรณ แก้วทอง,นาย,สุวรรณ แก้วทอง,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
4,นายอังกรู ไผ่แก้ว,นาย,อังกรู ไผ่แก้ว,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
5,นายนรสิงห์ โคตะนนท์,นาย,นรสิงห์ โคตะนนท์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
6,นายเลิศมงคล คงเจริญ,นาย,เลิศมงคล คงเจริญ,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
7,นายวรพัทธ์ คงสะอาด,นาย,วรพัทธ์ คงสะอาด,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
8,นายพรชัย วิมลศุภวงศ์,นาย,พรชัย วิมลศุภวงศ์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
9,นางพัชรินทร์ พิมพา,นาง,พัชรินทร์ พิมพา,พลังสังคมใหม่,บัญชีรายชื่อ,,,female,,,
10,นายสมเกียรติ แก้วสิมมา,นาย,สมเกียรติ แก้วสิมมา,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
11,นายศราวุฒิ ปรีดากัญญารัตน์,นาย,ศราวุฒิ ปรีดากัญญารัตน์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
12,นางสาวแสงอัมพา หริมูลวงศ์,นางสาว,แสงอัมพา หริมูลวงศ์,พลังสังคมใหม่,บัญชีรายชื่อ,,,female,,,
13,นายศิริศักดิ์ นาชัยเงิน,นาย,ศิริศักดิ์ นาชัยเงิน,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
13,ว่าที่ร้อยตรีสัญญา ฉายาวิก,ว่าที่ร้อยตรี,สัญญา ฉายาวิก,กรีน,บัญชีรายชื่อ,,,male,,,
15,นางสาวพรตชนก ชื่นชอบ,นางสาว,พรตชนก ชื่นชอบ,พลังสังคมใหม่,บัญชีรายชื่อ,,,female,,,
16,นายมุกดิ์หาญ สโมสร,นาย,มุกดิ์หาญ สโมสร,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
17,นายนวพัฒน์ มโนหวัน,นาย,นวพัฒน์ มโนหวัน,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
18,นายภราดร ดลภราดร,นาย,ภราดร ดลภราดร,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
19,นายนพมาศ พานมาตย์,นาย,นพมาศ พานมาตย์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
1,ว่าที่ร้อยตรีหญิงอรพรรณ จันตาเรือง,ว่าที่ร้อยตรีหญิง,อรพรรณ จันตาเรือง,ก้าวไกล,เขต,เชียงใหม่,6,female,,,
21,นายสุรชา รณคนา,นาย,สุรชา รณคนา,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
22,นายอดิศักดิ์ ไชยรัตน์,นาย,อดิศักดิ์ ไชยรัตน์,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
23,นายเรณู ผิวขาว,นาย,เรณู ผิวขาว,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
24,นายปุนภพ คงเจริญเขต,นาย,ปุนภพ คงเจริญเขต,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
25,นายบุญธรรม วายุบัตร,นาย,บุญธรรม วายุบัตร,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
26,นายณะไพโรจน์ พัวจันทร์ดี,นาย,ณะไพโรจน์ พัวจันทร์ดี,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
27,นายมาริษ คุณากร,นาย,มาริษ คุณากร,พลังสังคมใหม่,บัญชีรายชื่อ,,,male,,,
1,นายปรีดา บุญเพลิง,นาย,ปรีดา บุญเพลิง,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
2,นายไพโรจน์ กระจ่างพันธ์,นาย,ไพโรจน์ กระจ่างพันธ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
3,นายสิริชัย วงศ์พัฒนกิจ,นาย,สิริชัย วงศ์พัฒนกิจ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
8,จ่าเอกธีรสุต มีอินทร์,จ่าเอก,ธีรสุต มีอินทร์,ก้าวไกล,เขต,ชุมพร,1,male,,,
5,นายจีระพงษ์ ถนอม,นาย,จีระพงษ์ ถนอม,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
6,นายคมกริช พุดดี,นาย,คมกริช พุดดี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
7,นายศรีเพชร ศรีกระภา,นาย,ศรีเพชร ศรีกระภา,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
8,นายกัมปนาท มูลโต,นาย,กัมปนาท มูลโต,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
9,นายสินสมุทร สมัยพิทักษ์,นาย,สินสมุทร สมัยพิทักษ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
10,นายปริญญา มั่นทน,นาย,ปริญญา มั่นทน,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
11,นายพิศนุ ภูชงค์,นาย,พิศนุ ภูชงค์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
12,นายวิชาญ ช่างวาด,นาย,วิชาญ ช่างวาด,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
13,นายมาคอรี บูระ,นาย,มาคอรี บูระ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
14,นายอนุชา ทองสงค์,นาย,อนุชา ทองสงค์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
15,นายศิลป์ชัย อาจภักดี,นาย,ศิลป์ชัย อาจภักดี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
16,สิบตรีสมยศ นุริตานนท์,สิบตรี,สมยศ นุริตานนท์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
17,นางสาวเพ็ญศรี สุขกาล,นางสาว,เพ็ญศรี สุขกาล,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,female,,,
18,นางสร้อยสุดา นาคอนุเคราะห์,นาง,สร้อยสุดา นาคอนุเคราะห์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,female,,,
19,นายไกรพจน์ บุญประเสริฐ,นาย,ไกรพจน์ บุญประเสริฐ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
20,นายยศวิน ทศโยธิน,นาย,ยศวิน ทศโยธิน,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
21,นายกิจการ ศรีพระพร,นาย,กิจการ ศรีพระพร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
22,นายกำจร วงศ์จันทรวิรัช,นาย,กำจร วงศ์จันทรวิรัช,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
23,นายสุบิน เมืองโครต,นาย,สุบิน เมืองโครต,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
24,นายประเวช คำสวัสดิ์,นาย,ประเวช คำสวัสดิ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
25,นายวินัย นาคนิรันดรื,นาย,วินัย นาคนิรันดรื,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
26,นายสุริยา เรียนสร้อย,นาย,สุริยา เรียนสร้อย,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
27,นายเสถียร แตะยา,นาย,เสถียร แตะยา,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
28,นายเกียรติภัช เกิดรี,นาย,เกียรติภัช เกิดรี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
29,นายมานพ อ่วมสถิตย์,นาย,มานพ อ่วมสถิตย์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
30,นายสุธี ลีกระจ่าง,นาย,สุธี ลีกระจ่าง,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
31,นางสาวปรางชิด ไชนาท,นางสาว,ปรางชิด ไชนาท,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,female,,,
32,นายสุนาย ศาลารมย์,นาย,สุนาย ศาลารมย์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
33,นายวิสิษฐ์พล ฟักเกตุ,นาย,วิสิษฐ์พล ฟักเกตุ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
34,นางพัน แสนคำ,นาง,พัน แสนคำ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,female,,,
35,นายณัฐดนัย สามภักดี,นาย,ณัฐดนัย สามภักดี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
36,นายเวโรจน์ ฤทธิรงค์,นาย,เวโรจน์ ฤทธิรงค์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
37,นายเพชร คงวิชาการ,นาย,เพชร คงวิชาการ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
38,นายเจริญ สุขเกษม,นาย,เจริญ สุขเกษม,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
39,นายสะมาแอ กูโน,นาย,สะมาแอ กูโน,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
40,นายสมพงษ์ สุรเดช,นาย,สมพงษ์ สุรเดช,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
41,นายเดชาธร สุขวัฒน์,นาย,เดชาธร สุขวัฒน์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
42,นายอนันต์ เกตุสุภะ,นาย,อนันต์ เกตุสุภะ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
43,นายสุวรรณ ธนะวงศ์,นาย,สุวรรณ ธนะวงศ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
44,นายชาญวิช ฤทธิรงค์,นาย,ชาญวิช ฤทธิรงค์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
45,นายคมสันต์ ดลรัศมี,นาย,คมสันต์ ดลรัศมี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
46,นางสาวสุนิสา โสรถาวร,นางสาว,สุนิสา โสรถาวร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,female,,,
47,นายเสรีชน ศรีบุตร,นาย,เสรีชน ศรีบุตร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
48,นายถนอมทรัพย์ สุขศรี,นาย,ถนอมทรัพย์ สุขศรี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
49,นายคำตัน สนทอง,นาย,คำตัน สนทอง,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
50,นางสาวศศนนท ดิลกสุนทร,นางสาว,ศศนนท ดิลกสุนทร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,female,,,
51,นายจำรัส ไกยสิทธิ์,นาย,จำรัส ไกยสิทธิ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
52,นายดำเนิน โพธิ์แจ้ง,นาย,ดำเนิน โพธิ์แจ้ง,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
53,นายภาสกร อ่อนภักดี,นาย,ภาสกร อ่อนภักดี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
54,นายสิทธิพร ดีบุญมี ณ ชุมแพ,นาย,สิทธิพร ดีบุญมี ณ ชุมแพ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
55,นางกนกนภา เลี้ยงประยูร,นาง,กนกนภา เลี้ยงประยูร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,female,,,
56,นายเฉลิมศักดิ์ กลิ่นบัว,นาย,เฉลิมศักดิ์ กลิ่นบัว,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
57,นายอับดุลวาฮับ เจ๊ะละ,นาย,อับดุลวาฮับ เจ๊ะละ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
58,นายอดุลย์ ดอรอเงาะ,นาย,อดุลย์ ดอรอเงาะ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
1,นายอนุทิน ชาญวีรกูล,นาย,อนุทิน ชาญวีรกูล,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
2,นายศักดิ์สยาม ชิดชอบ,นาย,ศักดิ์สยาม ชิดชอบ,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
3,นายทรงศักดิ์ ทองศรี,นาย,ทรงศักดิ์ ทองศรี,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
4,นายชลัฐ รัชกิจประการ,นาย,ชลัฐ รัชกิจประการ,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
5,นางสาวชนม์ทิดา อัศวเหม,นางสาว,ชนม์ทิดา อัศวเหม,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
6,นายนันทนา สงฆ์ประชา,นาย,นันทนา สงฆ์ประชา,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
7,นายพุทธิพงษ์ ปุณณกันต์,นาย,พุทธิพงษ์ ปุณณกันต์,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
8,นายศุภชัย ใจสมุทร,นาย,ศุภชัย ใจสมุทร,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
9,นางสาวไตรศุลี ไตรสรณกุล,นางสาว,ไตรศุลี ไตรสรณกุล,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
10,นางศุภมาส อิศรภักดี,นาง,ศุภมาส อิศรภักดี,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
11,นายสรอรรถ กลิ่นประทุม,นาย,สรอรรถ กลิ่นประทุม,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
12,นางสาวเรวดี รัศมิทัต,นางสาว,เรวดี รัศมิทัต,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
13,นายนัจมุดดีน อูมา,นาย,นัจมุดดีน อูมา,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
14,นายกิตติชัย เอ่งฉ้วน,นาย,กิตติชัย เอ่งฉ้วน,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
15,นายปวรรณวิลาวัลย์ ศรีจันทร์งาม,นาย,ปวรรณวิลาวัลย์ ศรีจันทร์งาม,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
16,นายมารุต มัสยวาณิช,นาย,มารุต มัสยวาณิช,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
17,นายภิญโญ นิโรจน์,นาย,ภิญโญ นิโรจน์,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
18,นายปารเมศ โพธารากุล,นาย,ปารเมศ โพธารากุล,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
19,นายอารี ไกรนรา,นาย,อารี ไกรนรา,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
20,นายสามารถ แก้วมีชัย,นาย,สามารถ แก้วมีชัย,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
21,นางสาวอนุสรี ทับสุวรรณ,นางสาว,อนุสรี ทับสุวรรณ,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
22,นายเอกสิทธิ์ คุณานันทกุล,นาย,เอกสิทธิ์ คุณานันทกุล,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
23,นายบุญดำรง ประเสริฐโสภา,นาย,บุญดำรง ประเสริฐโสภา,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
24,นายจำรัส คำรอด,นาย,จำรัส คำรอด,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
25,นายเพิ่มพูน ทองศรี,นาย,เพิ่มพูน ทองศรี,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
26,นายสวาป เผ่าประทาน,นาย,สวาป เผ่าประทาน,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
27,นายสุพล ฟองงาม,นาย,สุพล ฟองงาม,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
28,นายสุชาติ โชคชัยวัฒนากร,นาย,สุชาติ โชคชัยวัฒนากร,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
29,นายวิรัช พันธุมะผล,นาย,วิรัช พันธุมะผล,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
30,นายเกษมสันต์ มีทิพย์,นาย,เกษมสันต์ มีทิพย์,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
31,นายเขมพล อุ้ยตยะกุล,นาย,เขมพล อุ้ยตยะกุล,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
32,นายกมล รอดคล้าย,นาย,กมล รอดคล้าย,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
33,นายปราโมทย์ แสงอรุณ,นาย,ปราโมทย์ แสงอรุณ,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
34,นายองอาจ ปัญญาชาติรักษ์,นาย,องอาจ ปัญญาชาติรักษ์,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
35,นายศิริศักดิ์ ร่วมพัฒนา,นาย,ศิริศักดิ์ ร่วมพัฒนา,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
36,นายพิเชษฐ หาญจางสิทธิ์,นาย,พิเชษฐ หาญจางสิทธิ์,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
37,นายณรงค์ จงแจ่มฟ้า,นาย,ณรงค์ จงแจ่มฟ้า,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
38,นายญะฟาร์ นววานิช,นาย,ญะฟาร์ นววานิช,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
39,นางสาวปาตีเมาะ เปาะอิแตดาโอะ,นางสาว,ปาตีเมาะ เปาะอิแตดาโอะ,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
40,นายพิกิฏ ศรีชนะ,นาย,พิกิฏ ศรีชนะ,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
41,นายมนตรี รักษ์ศรีทอง,นาย,มนตรี รักษ์ศรีทอง,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
42,นางอภิสมา โพธารากุล,นาง,อภิสมา โพธารากุล,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
43,นางอรุณี ลิ้มมณี,นาง,อรุณี ลิ้มมณี,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
44,นายคณนาถ หมื่นหนู,นาย,คณนาถ หมื่นหนู,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
45,นางสาวจุฬาลักษณ์ ด้วงทอง,นางสาว,จุฬาลักษณ์ ด้วงทอง,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
46,นางวรรณะ ระเด่นอาหมัด,นาง,วรรณะ ระเด่นอาหมัด,ภูมิใจไทย,บัญชีรายชื่อ,,,female,,,
47,นายเนติวิทย์ ขาวดี,นาย,เนติวิทย์ ขาวดี,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
48,นายโปรดปราน โต๊ะราหนี,นาย,โปรดปราน โต๊ะราหนี,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
49,นายธนิศร์ ศรีประเทศ,นาย,ธนิศร์ ศรีประเทศ,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
50,นายดาโต๊ะสรีสุธิพันธ์ ศรีริกานนท์,นาย,ดาโต๊ะสรีสุธิพันธ์ ศรีริกานนท์,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
51,นายศิลปชัย บุญราย,นาย,ศิลปชัย บุญราย,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
52,นายฟุรกร คอลอราแม,นาย,ฟุรกร คอลอราแม,ภูมิใจไทย,บัญชีรายชื่อ,,,male,,,
