Number,Title,Name,PartyName,MpType,IsMp,IsPmCandidate,MpProvince,MpZone,MpList,companyType,totalValueShare,countCompShare,countDirector,totalPctShare
,สิบตรี,สมยศ นุริตานนท์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นางสาว,เพ็ญศรี สุขกาล,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาง,สร้อยสุดา นาคอนุเคราะห์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ไกรพจน์ บุญประเสริฐ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ยศวิน ทศโยธิน,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,กิจการ ศรีพระพร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,"['G', 'G', 'C', 'G', 'J', 'G']",275127,5,1,0.0
,นาย,กำจร วงศ์จันทรวิรัช,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สุบิน เมืองโครต,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ประเวช คำสวัสดิ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,วินัย นาคนิรันดร์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สุริยา เรียนสร้อย,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,"['F', 'G', 'C', 'G']",-628584,4,0,-0.01
,นาย,เสถียร แตะยา,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เกียรติภัช เกิดรี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,มานพ อ่วมสถิตย์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สุธี ลีกระจ่าง,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นางสาว,ปรางชิด ไชนาท,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สุนาย ศาลารมย์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,['G'],0,0,1,0.0
,นาย,วิสิษฐ์พล ฟักเกตุ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาง,พัน แสนคำ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,['F'],0,0,1,0.0
,นาย,ณัฐดนัย สามภักดี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เวโรจน์ ฤทธิรงค์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เพชร คงวิชาการ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เสริญ สุขเกษม,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สะมาแอ กูโน,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สมพงษ์ สุรเดช,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เดชาธร สุขวัฒน์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,อนันต์ เกตุสุภะ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สุวรรณ ธนะวงศ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ชาญวิช ฤทธิรงค์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,คมสันต์ ดลรัศมี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นางสาว,สุนิสา โสรถาวร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เสรีชน ศรีบุตร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ถนอมทรัพย์ สุขศรี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,คำตัน สนทอง,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นางสาว,ศศนนท ดิลกสุนทร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,จำรัส ไกยสิทธิ์,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,"['F', 'F', 'G']",0,0,3,0.0
,นาย,ดำเนิน โพธิ์แจ้ง,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ภาสกร อ่อนภักดี,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สิทธิพร ดีบุญมี ณ ชุมแพ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาง,กนกนภา เลี้ยงประยูร,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เฉลิมศักดิ์ กลิ่นบัว,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,อับดุลวาฮับ เจ๊ะแล,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,อดุลย์ ดอรอเงาะ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,อนุทิน ชาญวีรกูล,ภูมิใจไทย,บัญชีรายชื่อ,True,True,,,,"['F', 'K', 'L', 'L', 'L', 'L', 'L', 'C', 'L', 'F']",0,0,10,0.0
,นาย,ศักดิ์สยาม ชิดชอบ,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['F'],0,0,1,0.0
,นาย,ทรงศักดิ์ ทองศรี,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,ชลัฐ รัชกิจประการ,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['G'],745184,1,0,0.01
,นางสาว,ชนม์ทิดา อัศวเหม,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['G', 'G']",140541942,1,1,1.42
,นาย,นันทนา สงฆ์ประชา,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['L'],-12354107,1,0,-0.12
,นาย,พุทธิพงษ์ ปุณณกันต์,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['G'],0,0,1,0.0
,นาย,ศุภชัย ใจสมุทร,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['I', 'M', 'N']",0,0,3,0.0
,นางสาว,ไตรศุลี ไตรสรณกุล,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['G', 'C', 'N', 'G']",48851,1,3,0.0
,นาง,ศุภมาส อิศรภักดี,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,['C'],0,0,1,0.0
,นาย,สรอรรถ กลิ่นประทุม,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นางสาว,เรวดี รัศมิทัต,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,นัจมุดดีน อูมา,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['I', 'F']",136134,1,1,0.0
,นาย,กิตติชัย เอ่งฉ้วน,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['R', 'G', 'P', 'N', 'F', 'G', 'J']",-217619,1,6,0.0
,นาย,ปวรรณ วิลาวัลย์ ศรีจันทร์งาม,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,มารุต มัสยวาณิช,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['G', 'A', 'H', 'C', 'H']",0,0,5,0.0
,นาย,ภิญโญ นิโรจน์,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['R', 'K']",-352883,1,1,0.0
,นาย,ปารเมศ โพธารากุล,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['F', 'I', 'N', 'L']",0,0,4,0.0
,นาย,อารี ไกรนรา,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,สามารถ แก้วมีชัย,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['F', 'F', 'N', 'G', 'L', 'L', 'L']",0,0,7,0.0
,นางสาว,อนุสรี ทับสุวรรณ,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,เอกสิทธิ์ คุณานันทกุล,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,"['G', 'G', 'L', 'L', 'N', 'G', 'L', 'G', 'H', 'G', 'L', 'G', 'L', 'H', 'G', 'C', 'E', 'L', 'C', 'C', 'H', 'M', 'M', 'G', 'G', 'L', 'M', 'N', 'E', 'L', 'G', 'G', 'G', 'G', 'C', 'G', 'C', 'G', 'C']",154476132,27,12,1.56
,นาย,บุญดำรง ประเสริฐโสภา,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
,นาย,จำรัส คำรอด,ภูมิใจไทย,บัญชีรายชื่อ,True,False,,,,[],0,0,0,0.0
